id,date,nasdaq_close,nasdaq_chg_pct,close_approx,clean_day,event,category,time_et,scheduled,expected_vs_actual,news_N,impact_I,direction,importance,confidence,exposure
US-20250102-01,2025-01-02,19280.79,-0.16,N,N,"새해 첫 거래일 장초 +1% 후 하락 반전, 5거래일 연속 하락. 테슬라 연간 인도량 첫 감소(-1%) → -6.1%",기업이벤트,09:00 ET 장전,예정,예상 51.1만 → 실제 49.6만(4Q),3,2,▼,2.4,A,테슬라·EV
US-20250102-02,2025-01-02,19280.79,-0.16,N,N,애플 -2.6%(중국 할인 판매 보도),기업이벤트,장중,돌발,—,2,1,▼,1.4,C,애플
US-20250103-01,2025-01-03,19621.68,1.77,N,N,"12월 ISM 제조업 49.3(예상 48.4) 호조 → 연말 5일 연속 하락 탈출, 엔비디아 +4.5%·테슬라 +8.2%",거시지표,10:00 ET 장중,예정,예상 48.4 → 실제 49.3,3,3,▲,3.0,A,지수·반도체
US-20250103-02,2025-01-03,19621.68,1.77,N,N,"바킨 리치먼드 연은 총재 ""인플레 진전"" 발언",통화정책,장중,돌발,—,1,1,▲,1.0,C,금리민감주
US-20250106-01,2025-01-06,19864.98,1.24,N,N,"폭스콘 4Q 매출 사상 최대(AI 서버) → 엔비디아 +3.4% 사상 최고, 반도체 강세",AI/반도체,전일 장외,예정,—,3,3,▲,3.0,B,반도체·AI
US-20250106-02,2025-01-06,19864.98,1.24,N,N,"WP ""트럼프 보편관세 핵심품목 한정"" 보도 → 트럼프 부인, 장중 상승폭 축소",무역/관세,장전,돌발,—,3,2,◆,2.4,A,수입의존 기업
US-20250106-03,2025-01-06,19864.98,1.24,N,N,젠슨 황 CES 기조연설(21:30 ET 장후) 앞 기대,AI/반도체,장후,예정,—,3,1,▲,1.8,C,엔비디아
US-20250107-01,2025-01-07,19489.68,-1.89,N,N,"ISM 서비스 가격지수 64.4 급등 + JOLTS 구인 810만(예상 770만) → 10년물 4.69%, 금리인하 기대 후퇴",거시지표,10:00 ET 장중,예정,예상 상회(물가·고용 모두),4,3,▼,3.4,A,성장주·지수
US-20250107-02,2025-01-07,19489.68,-1.89,N,N,엔비디아 CES 다음날 -6.2% 차익실현(셀 더 뉴스),AI/반도체,장중,—,—,3,2,▼,2.4,C,엔비디아·반도체
US-20250108-01,2025-01-08,19478.88,-0.06,N,N,"CNN ""트럼프, 관세 위해 국가경제비상사태 선포 검토"" 보도 → 장중 하락 후 FOMC 의사록에 보합권 회복",무역/관세,장중,돌발,—,3,1,◆,1.8,A,지수
US-20250108-02,2025-01-08,19478.88,-0.06,N,N,"12월 FOMC 의사록(14:00 ET): ""인하 속도 조절"" 확인, 예상 부합",통화정책,14:00 ET 장중,예정,부합,2,1,◆,1.4,A,금리민감주
US-20250110-01,2025-01-10,19161.63,-1.63,N,Y,"12월 비농업고용 +25.6만(예상 16.5만)·실업률 4.1% → 10년물 4.79% 급등, 연내 인하 기대 1회로 축소",거시지표,08:30 ET 장전,예정,예상 +16.5만 → 실제 +25.6만,5,3,▼,3.8,A,지수·성장주
US-20250110-02,2025-01-10,19161.63,-1.63,N,Y,미시간대 1년 기대인플레 3.3%(전월 2.8%) 급등,거시지표,10:00 ET 장중,예정,예상 상회,3,2,▼,2.4,A,지수
US-20250110-03,2025-01-10,19161.63,-1.63,N,Y,(1/9 카터 전 대통령 국장으로 휴장),기타,—,예정,—,2,1,◆,1.4,C,—
US-20250113-01,2025-01-13,19088.1,-0.38,N,N,바이든 정부 AI 칩 수출규제 확산 규칙(AI Diffusion Rule) 발표 → 엔비디아 -2%,AI/반도체,장전,돌발,—,3,2,▼,2.4,A,엔비디아·AMD
US-20250113-02,2025-01-13,19088.1,-0.38,N,N,"고용 서프라이즈 여진: 10년물 장중 4.8% 돌파, 나스닥 장중 -1.5%에서 낙폭 축소",채권/금리,장중,—,—,3,1,▼,1.8,C,성장주
US-20250114-01,2025-01-14,19044.39,-0.23,N,N,12월 PPI +0.2%(예상 0.4%) 하회 → 장초 상승 후 반납,거시지표,08:30 ET 장전,예정,예상 하회,3,1,◆,1.8,A,지수
US-20250114-02,2025-01-14,19044.39,-0.23,N,N,일라이릴리 가이던스 하향 -6.6% (체중감량제 매출 미달),기업실적,장전,돌발,미달,2,1,▼,1.4,A,제약
US-20250115-01,2025-01-15,19511.23,2.45,N,Y,"12월 CPI 근원 3.2%(예상 3.3%) 하회 → 10년물 -14bp, 나스닥 +2.45% (11월 이후 최대 상승)",거시지표,08:30 ET 장전,예정,근원 예상 3.3% → 실제 3.2%,5,4,▲,4.4,A,지수·성장주
US-20250115-02,2025-01-15,19511.23,2.45,N,Y,JP모건·웰스파고·씨티·골드만 4Q 호실적 → 은행주 급등,기업실적,장전,예정,상회,3,2,▲,2.4,A,은행
US-20250116-01,2025-01-16,19338.29,-0.89,N,N,"애플 -4%(中 아이폰 점유율 하락, 카운터포인트) + 테크 차익실현",기업이벤트,장중,돌발,—,3,2,▼,2.4,C,애플
US-20250116-02,2025-01-16,19338.29,-0.89,N,N,모건스탠리·BofA 호실적 vs 유나이티드헬스 매출 미달 -6%,기업실적,장전,예정,혼조,2,1,◆,1.4,A,금융·헬스케어
US-20250116-03,2025-01-16,19338.29,-0.89,N,N,"월러 연준 이사 ""상반기 인하 가능"" → 금리 하락",통화정책,장후(1/15),돌발,—,2,1,▲,1.4,B,금리민감주
US-20250117-01,2025-01-17,19630.2,1.51,N,N,"트럼프-시진핑 통화(취임 전) ""무역·펜타닐·틱톡 논의"" → 대중 관세 우려 완화",무역/관세,장전,돌발,—,3,3,▲,3.0,B,중국 노출주
US-20250117-02,2025-01-17,19630.2,1.51,N,N,"TSMC 호실적(1/16) 여진 + 옵션 만기 → 엔비디아 +3%, 나스닥 +1.5%",AI/반도체,전일,예정,상회,3,2,▲,2.4,B,반도체
US-20250121-01,2025-01-21,19756.78,0.64,N,N,"트럼프 취임(1/20, 휴장일) — 취임일 관세 즉시 부과 없음(2/1 캐·멕 25% 검토 발언) → 안도",무역/관세,1/20,예정,예상(즉시 부과) → 실제 보류,5,2,▲,3.2,B,지수·수입의존
US-20250121-02,2025-01-21,19756.78,0.64,N,N,"넷플릭스 4Q 가입자 1,900만 순증(장후) 발표",기업실적,16:00 ET 장후,예정,상회,3,1,▲,1.8,A,넷플릭스
US-20250122-01,2025-01-22,20009.34,1.28,N,Y,"스타게이트(오픈AI·소프트뱅크·오라클) AI 인프라 5,000억달러 발표(1/21 저녁) → 오라클 +6.7%, 엔비디아 +4.4%, 나스닥 2만선 회복",AI/반도체,전일 16:00 ET 이후,돌발,—,5,3,▲,3.8,B,AI 인프라
US-20250122-02,2025-01-22,20009.34,1.28,N,Y,넷플릭스 +9.7%(가격 인상·가입자 호조),기업실적,전일 장후,예정,상회,3,1,▲,1.8,B,넷플릭스
US-20250123-01,2025-01-23,20053.68,0.22,N,N,"트럼프 다보스 화상연설 ""금리 즉각 인하 요구, 유가 인하 압박"" → S&P 사상 최고(6,118.71)",정치,11:00 ET 장중,돌발,—,4,1,▲,2.2,A,지수
US-20250123-02,2025-01-23,20053.68,0.22,N,N,GE에어로 등 실적 호조,기업실적,장전,예정,상회,1,1,▲,1.0,C,산업재
US-20250124-01,2025-01-24,19954.3,-0.50,N,N,중국 딥시크 R1 저비용 모델 확산(주말),AI/반도체,주말,돌발,—,3,1,◆,1.8,C,AI
US-20250124-02,2025-01-24,19954.3,-0.50,N,N,1월 S&P 글로벌 서비스 PMI 52.8 급락 + 반도체 차익실현(엔비디아 -3%),거시지표,09:45 ET 장중,예정,예상 하회,2,1,▼,1.4,C,반도체
US-20250127-01,2025-01-27,19341.83,-3.07,N,Y,"딥시크(DeepSeek) R1 쇼크: 600만달러 학습비용 주장 → AI 설비투자 회의론, 엔비디아 -17%(시총 5,890억달러 증발, 美 단일종목 사상 최대), 브로드컴 -17%",AI/반도체,주말~장전,돌발,—,5,4,▼,4.4,B,AI 반도체·전력 인프라
US-20250127-02,2025-01-27,19341.83,-3.07,N,Y,"美 국채금리 급락(안전자산 선호), 애플 +3% 대조",채권/금리,장중,—,—,3,1,◆,1.8,C,빅테크
US-20250128-01,2025-01-28,19733.59,2.03,Y,N,딥시크 쇼크 반발매수 → 엔비디아 +8.9% 반등,AI/반도체,장중,—,—,3,4,▲,3.6,C,엔비디아
US-20250128-02,2025-01-28,19733.59,2.03,Y,N,컨퍼런스보드 소비자신뢰 104.1 하락,거시지표,10:00 ET 장중,예정,예상 하회,1,1,▼,1.0,C,소비재
US-20250129-01,2025-01-29,19632.32,-0.51,Y,N,"FOMC 4.25~4.50% 동결(예상 부합), 성명서 ""인플레 진전"" 문구 삭제 → 매파적 해석",통화정책,14:00 ET 장중,예정,부합(동결),5,2,▼,3.2,A,지수
US-20250129-02,2025-01-29,19632.32,-0.51,Y,N,"엔비디아 -4%(딥시크 여진), 장후 MS·메타·테슬라 실적",AI/반도체,장중,—,—,3,2,▼,2.4,C,AI
US-20250130-01,2025-01-30,19681.75,0.25,N,N,MS 애저 성장 둔화 -6.2%(3년 최대 낙폭) vs 메타 +1.6%·테슬라 +2.9%,기업실적,전일 16:00 ET 장후,예정,애저 미달,4,2,◆,2.8,B,빅테크
US-20250130-02,2025-01-30,19681.75,0.25,N,N,4Q GDP 2.3%(예상 2.6%) 하회,거시지표,08:30 ET 장전,예정,예상 하회,3,1,◆,1.8,A,지수
US-20250130-03,2025-01-30,19681.75,0.25,N,N,워싱턴DC 여객기-헬기 충돌 사고,기타,전일 밤,돌발,—,3,1,◆,1.8,C,항공
US-20250131-01,2025-01-31,19627.44,-0.28,N,N,"백악관 ""2/1 캐·멕 25%, 중국 10% 관세 부과"" 확인 → 장초 상승분 반납",무역/관세,13:30 ET 장중,돌발,연기 기대 → 강행,5,2,▼,3.2,A,지수·수입의존
US-20250131-02,2025-01-31,19627.44,-0.28,N,N,애플 호실적 vs 엔비디아 -3.7%(주간 -16%),기업실적,전일 장후,예정,—,3,1,◆,1.8,B,빅테크
US-20250131-03,2025-01-31,19627.44,-0.28,N,N,12월 근원 PCE 2.8% 부합,거시지표,08:30 ET 장전,예정,부합,2,1,◆,1.4,A,지수
US-20250203-01,2025-02-03,19391.96,-1.20,N,Y,트럼프 캐·멕 25%·中 10% 관세 행정명령 서명(2/1 토) → 장초 -2% 급락 → 멕시코 관세 30일 유예 합의로 낙폭 축소,무역/관세,주말,돌발,—,5,3,▼,3.8,B,자동차·수입의존
US-20250203-02,2025-02-03,19391.96,-1.20,N,Y,ISM 제조업 50.9 — 26개월 만에 확장,거시지표,10:00 ET 장중,예정,예상 상회,2,1,▲,1.4,A,산업재
