id,date,kospi_close,kospi_chg_pct,clean_day,event,category,time_kst,scheduled,expected_vs_actual,news_N,impact_I,direction,importance,confidence,exposure,unverified,market_closed
KR-20250102-01,2025-01-02,2398.94,-0.02,N,"새해 첫 거래일 약보합, 2400선 탈환 실패. 외국인 2,384억·기관 1,991억 동반 순매도 (계엄·탄핵 정국 불확실성 지속)",수급,장중,—,—,3,1,◆,1.8,C,지수,N,N
KR-20250102-02,2025-01-02,2398.94,-0.02,N,"코스닥 +1.24%(686.63) 강세, 대형주 대비 차별화",수급,장중,—,—,2,1,▲,1.4,C,코스닥,N,N
KR-20250103-01,2025-01-03,2441.92,1.79,N,"정치 불확실성 완화 기대(윤 대통령 체포영장 집행 시도) 속 외국인(2,808억)·기관(3,180억) 동반 순매수로 6거래일 만에 반등",수급,장중,돌발,—,3,3,▲,3.0,C,지수,N,N
KR-20250103-02,2025-01-03,2441.92,1.79,N,"중국 경기부양 기대 + 낙폭과대 저가매수 → SK하이닉스 +6.25%, NAVER +3.46%, LG에너지솔루션 +2.89%",해외증시,전일밤,—,—,2,2,▲,2.0,C,반도체·2차전지,N,N
KR-20250106-01,2025-01-06,2488.64,1.91,N,"CES 2025 개막 앞두고 AI 반도체 기대 → SK하이닉스 +9.84%, 삼성전자 +2.76%",반도체/AI,장중,예정,—,3,3,▲,3.0,C,반도체,N,N
KR-20250106-02,2025-01-06,2488.64,1.91,N,"외국인·기관 동반 순매수, 2거래일 연속 상승",수급,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250107-01,2025-01-07,2492.1,0.14,N,"젠슨 황 CES 기조연설(1/7 11:30 KST) 한국 메모리 언급 실망 → SK하이닉스 -2.40%, 삼성전자 -0.89%, 장중 2500 돌파 후 반납",반도체/AI,11:30 장중,예정,기대 대비 실망,3,2,▼,2.4,A,반도체,N,N
KR-20250107-02,2025-01-07,2492.1,0.14,N,"외국인 순매수 지속, 3거래일 연속 상승",수급,장중,—,—,2,1,▲,1.4,C,지수,N,N
KR-20250108-01,2025-01-08,2521.05,1.16,N,"삼성전자 4Q24 잠정실적(08:00 장전) 영업이익 6.5조, 컨센서스(약 7.7조) 하회에도 ""악재 선반영·바닥"" 인식에 +3.43%",기업실적,08:00 장전,예정,"컨센 대비 약 -15%, 주가는 상승",4,3,▲,3.4,B,삼성전자·반도체,N,N
KR-20250108-02,2025-01-08,2521.05,1.16,N,"KOSPI 4거래일 연속 상승, 11/26 이후 최고치(외국인 2,036억·기관 1,096억 순매수)",수급,장중,—,—,2,2,▲,2.0,C,지수,N,N
KR-20250109-01,2025-01-09,2521.9,0.03,N,SK하이닉스 +5.29% (HBM 기대),반도체/AI,장중,—,—,2,2,▲,2.0,C,SK하이닉스,N,N
KR-20250109-02,2025-01-09,2521.9,0.03,N,"미 12월 고용보고서(1/10) 경계 속 5거래일 연속 상승, 외국인 7,517억 순매수·기관 5,031억 매도",수급,장중,—,—,2,1,◆,1.4,C,지수,N,N
KR-20250109-03,2025-01-09,2521.9,0.03,N,미국 증시 카터 전 대통령 국장으로 휴장(1/9 美),해외증시,—,예정,—,1,1,◆,1.0,C,—,N,N
KR-20250110-01,2025-01-10,2515.78,-0.24,N,미 12월 고용지표 발표(22:30) 앞둔 경계감에 6거래일 만에 하락,거시지표,당일 22:30,예정,—,2,1,▼,1.4,C,지수,N,N
KR-20250113-01,2025-01-13,2489.56,-1.04,Y,미 12월 비농업고용 +25.6만(예상 16만) 서프라이즈 → 연준 인하 기대 후퇴·미 국채금리 급등,거시지표,1/10 22:30,예정,예상 +16만 → 실제 +25.6만,4,3,▼,3.4,B,지수·성장주,N,N
KR-20250113-02,2025-01-13,2489.56,-1.04,Y,"외국인 약 8,700억 순매도, 2일 연속 매도",수급,장중,—,—,2,2,▼,2.0,C,지수,N,N
KR-20250114-01,2025-01-14,2497.4,0.31,N,"개인 순매수로 3거래일 만에 반등(장중 2,482 저점 후 회복), 유리기판 테마 강세",수급,장중,—,—,2,1,▲,1.4,C,지수·유리기판,N,N
KR-20250115-01,2025-01-15,2496.81,-0.02,N,"윤석열 대통령 체포(공수처 2차 영장 집행, 오전 10:33) — 장초 +1% 이상 상승 후 반납, 약보합",정치,10:33 장중,돌발,—,5,2,◆,3.2,A,지수·환율,N,N
KR-20250115-02,2025-01-15,2496.81,-0.02,N,"원/달러 1,461원 마감, 고환율 지속",환율,장중,—,—,2,1,▼,1.4,C,수입업종,N,N
